time,up(bps),down(bps)
0,136,0
0,217,0
0,326,0
0,435,0
0,544,0
0,544,0
4,544,0
4,544,0
4,544,0
4,544,0
7,544,0
7,544,0
7,544,0
11,544,0
11,544,0
11,544,0
11,544,0
14,544,0
14,544,0
14,544,0
18,544,0
18,544,0
18,544,0
18,544,0
22,544,0
22,544,0
22,556,0
22,556,0
25,556,0
25,556,0
25,665,0
28,761,0
28,870,0
28,979,0
30,1088,0
30,1088,0
31,1088,0
33,1088,0
33,1088,0
35,1088,0
35,1088,0
37,1088,0
37,1088,0
39,1088,0
39,1088,0
41,1088,0
41,1088,0
43,1088,0
43,1088,0
45,1088,0
46,1088,0
46,1088,0
48,1088,0
48,1088,0
50,1088,0
50,1088,0
52,1088,0
52,1088,0
54,1088,0
54,1088,0
56,1196,0
56,1305,0
57,1414,0
58,1523,0
60,1606,0
60,1577,0
61,1577,0
62,1577,0
64,1577,0
64,1603,0
65,1632,0
66,1632,0
67,1632,0
69,1632,0
69,1632,0
70,1632,0
71,1632,0
72,1632,0
74,1632,0
74,1632,0
75,1632,0
76,1632,0
77,1632,0
79,1632,0
79,1632,0
80,1632,0
81,1632,0
83,1632,0
84,1632,0
84,1632,0
85,1740,0
86,1849,0
87,1958,0
88,2067,0
89,2176,0
90,2121,0
91,2121,0
92,2121,0
93,2121,0
94,2121,0
95,2176,0
96,2176,0
97,2176,0
98,2176,0
99,2176,0
100,2176,0
101,2176,0
102,2176,0
103,2176,0
104,2176,0
105,2176,0
106,2176,0
107,2176,0
108,2176,0
109,2176,0
110,2176,0
111,2176,0
112,2176,0
113,2176,0
114,2176,0
115,2284,0
116,2393,0
117,2502,0
118,2611,0
119,2720,0
120,2720,0
121,2665,0
122,2665,0
123,2665,0
124,2665,0
125,2665,0
126,2720,0
127,2720,0
128,2720,0
129,2720,0
130,2720,0
131,2720,0
132,2720,0
133,2720,0
134,2720,0
135,2720,0
136,2720,0
137,2720,0
138,2720,0
139,2720,0
140,2720,0
141,2720,0
142,2720,0
143,2720,0
144,2720,0
145,2828,0
146,2937,0
147,3046,0
148,3155,0
149,3264,0
150,3251,0
151,3264,0
152,3209,0
153,3209,0
154,3209,0
155,3222,0
156,3209,0
157,3264,0
158,3264,0
159,3264,0
160,3264,0
161,3264,0
162,3264,0
163,3264,0
164,3264,0
165,3264,0
166,3264,0
167,3264,0
168,3264,0
169,3264,0
170,3264,0
171,3264,0
172,3264,0
173,3264,0
174,3264,0
175,3372,0
176,3481,0
177,3590,0
178,3699,0
179,3808,0
180,3808,0
181,3808,0
182,3808,0
183,3753,0
184,3753,0
185,3753,0
186,3753,0
187,3753,0
188,3808,0
189,3808,0
190,3808,0
191,3753,0
192,3753,0
193,3753,0
194,3753,0
195,3753,0
196,3808,0
197,3808,0
198,3808,0
199,3808,0
200,3808,0
201,3808,0
202,3808,0
203,3808,0
204,3808,0
205,3916,0
206,4025,0
207,4134,0
208,4243,0
209,4352,0
210,4352,0
211,4352,0
212,4352,0
213,4339,0
214,4297,0
215,4284,0
216,4297,0
217,4297,0
218,4310,0
219,4352,0
220,4364,0
221,4352,0
222,4297,0
223,4297,0
224,4297,0
225,4297,0
226,4297,0
227,4352,0
228,4352,0
229,4352,0
230,4352,0
231,4352,0
232,4352,0
233,4364,0
234,4364,0
235,4473,0
236,4582,0
237,4691,0
238,4787,0
239,4896,0
240,4896,0
241,4896,0
242,4896,0
243,4896,0
244,4841,0
245,4841,0
246,4841,0
247,4841,0
248,4841,0
249,4896,0
250,4896,0
251,4896,0
252,4896,0
253,4841,0
254,4841,0
255,4841,0
256,4841,0
257,4854,0
258,4908,0
259,4908,0
260,4908,0
261,4908,0
262,4908,0
263,4908,0
264,4908,0
265,5017,0
266,5139,0
267,5235,0
268,5344,0
269,5452,0
270,5452,0
271,5440,0
272,5440,0
273,5440,0
274,5440,0
275,5414,0
276,5385,0
277,5385,0
278,5385,0
279,5385,0
280,5411,0
281,5440,0
282,5440,0
283,5427,0
284,5385,0
285,5385,0
286,5385,0
287,5385,0
288,5398,0
289,5440,0
290,5440,0
291,5440,0
292,5440,0
293,5440,0
294,5440,0
295,5548,0
296,5657,0
297,5766,0
298,5875,0
299,5984,0
300,5984,0
301,5984,0
302,5984,0
303,5984,0
304,5984,0
305,5984,0
306,5984,0
307,5929,0
308,5929,0
309,5929,0
310,5929,0
311,5929,0
312,5984,0
313,5984,0
314,5984,0
315,5929,0
316,5929,0
317,5929,0
318,5929,0
319,5929,0
320,5929,0
321,5929,0
322,5929,0
323,5929,0
324,5929,0
325,6105,0
326,6214,0
327,6323,0
328,6432,0
329,6540,0
330,6528,0
331,6528,0
332,6528,0
333,6528,0
334,6528,0
335,6528,0
336,6528,0
337,6528,0
338,6473,0
339,6473,0
340,6473,0
341,6473,0
342,6473,0
343,6528,0
344,6540,0
345,6540,0
346,6486,0
347,6499,0
348,6499,0
349,6486,0
350,6486,0
351,6486,0
352,6473,0
353,6473,0
354,6473,0
355,6582,0
356,6745,0
357,6854,0
358,6963,0
359,7072,0
360,7072,0
361,7072,0
362,7072,0
363,7072,0
364,7072,0
365,7072,0
366,7084,0
367,7084,0
368,7084,0
369,7059,0
370,7030,0
371,7017,0
372,7017,0
373,7017,0
374,7043,0
375,7072,0
376,7072,0
377,7072,0
378,7017,0
379,7017,0
380,7017,0
381,7017,0
382,6963,0
383,7017,0
384,7017,0
385,7126,0
386,7235,0
387,7398,0
388,7507,0
389,7616,0
390,7616,0
391,7616,0
392,7616,0
393,7616,0
394,7616,0
395,7616,0
396,7616,0
397,7616,0
398,7616,0
399,7616,0
400,7561,0
401,7561,0
402,7561,0
403,7561,0
404,7561,0
405,7616,0
406,7628,0
407,7628,0
408,7628,0
409,7574,0
410,7574,0
411,7561,0
412,7561,0
413,7536,0
414,7561,0
415,7670,0
416,7779,0
417,7888,0
418,8022,0
419,8160,0
420,8160,0
421,8160,0
422,8160,0
423,8160,0
424,8160,0
425,8160,0
426,8172,0
427,8172,0
428,8172,0
429,8172,0
430,8172,0
431,8172,0
432,8118,0
433,8118,0
434,8118,0
435,8118,0
436,8105,0
437,8160,0
438,8160,0
439,8160,0
440,8105,0
441,8105,0
442,8105,0
443,8105,0
444,8051,0
445,8160,0
446,8268,0
447,8377,0
448,8486,0
449,8649,0
450,8704,0
451,8704,0
452,8716,0
453,8716,0
454,8716,0
455,8716,0
456,8716,0
457,8704,0
458,8704,0
459,8704,0
460,8704,0
461,8704,0
462,8649,0
463,8662,0
464,8662,0
465,8662,0
466,8662,0
467,8716,0
468,8704,0
469,8704,0
470,8704,0
471,8678,0
472,8649,0
473,8649,0
474,8649,0
475,8758,0
476,8784,0
477,8921,0
478,9030,0
479,9139,0
480,9126,0
481,9248,0
482,9248,0
483,9248,0
484,9248,0
485,9260,0
486,9248,0
487,9248,0
488,9248,0
489,9248,0
490,9248,0
491,9248,0
492,9248,0
493,9260,0
494,9260,0
495,9219,0
496,9219,0
497,9219,0
498,9206,0
499,9219,0
500,9260,0
501,9260,0
502,9260,0
503,9206,0
504,9193,0
505,9302,0
506,9411,0
507,9465,0
508,9574,0
509,9683,0
510,9683,0
511,9683,0
512,9737,0
513,9792,0
514,9804,0
515,9804,0
516,9804,0
517,9804,0
518,9804,0
519,9792,0
520,9792,0
521,9792,0
522,9792,0
523,9792,0
524,9792,0
525,9792,0
526,9724,0
527,9737,0
528,9737,0
529,9737,0
530,9737,0
531,9804,0
532,9792,0
533,9792,0
534,9737,0
535,9846,0
536,9955,0
537,10064,0
538,10118,0
539,10227,0
540,10227,0
541,10227,0
542,10227,0
543,10281,0
544,10336,0
545,10336,0
546,10336,0
547,10336,0
548,10336,0
549,10336,0
550,10336,0
551,10336,0
552,10348,0
553,10348,0
554,10348,0
555,10348,0
556,10348,0
557,10336,0
558,10281,0
559,10281,0
560,10281,0
561,10281,0
562,10281,0
563,10281,0
564,10281,0
565,10390,0
566,10444,0
567,10553,0
568,10716,0
569,10771,0
570,10716,0
571,10771,0
572,10771,0
573,10771,0
574,10825,0
575,10880,0
576,10880,0
577,10880,0
578,10880,0
579,10880,0
580,10880,0
581,10880,0
582,10880,0
583,10880,0
584,10880,0
585,10880,0
586,10880,0
587,10880,0
588,10838,0
589,10838,0
590,10838,0
591,10838,0
592,10838,0
593,10880,0
594,10825,0
595,10934,0
596,11056,0
597,11110,0
598,11219,0
599,11382,0
600,11382,0
601,11260,0
602,11315,0
603,11315,0
604,11315,0
605,11315,0
606,11424,0
607,11424,0
608,11424,0
609,11424,0
610,11424,0
611,11424,0
612,11424,0
613,11424,0
614,11424,0
615,11424,0
616,11424,0
617,11424,0
618,11424,0
619,11424,0
620,11369,0
621,11369,0
622,11369,0
623,11369,0
624,11369,0
625,11478,0
626,11587,0
627,11696,0
628,11750,0
629,11859,0
630,11913,0
631,11859,0
632,11804,0
633,11859,0
634,11859,0
635,11859,0
636,11926,0
637,11980,0
638,11980,0
639,11980,0
640,11980,0
641,11968,0
642,11968,0
643,11968,0
644,11968,0
645,11968,0
646,11968,0
647,11968,0
648,11968,0
649,11980,0
650,11993,0
651,11939,0
652,11939,0
653,11939,0
654,11926,0
655,12009,0
656,12131,0
657,12240,0
658,12348,0
659,12403,0
660,12416,0
661,12457,0
662,12403,0
663,12348,0
664,12403,0
665,12403,0
666,12403,0
667,12457,0
668,12512,0
669,12524,0
670,12524,0
671,12524,0
672,12524,0
673,12524,0
674,12457,0
675,12470,0
676,12470,0
677,12470,0
678,12470,0
679,12512,0
680,12512,0
681,12512,0
682,12457,0
683,12457,0
684,12470,0
685,12566,0
686,12675,0
687,12784,0
688,12892,0
689,13001,0
690,12947,0
691,12947,0
692,13001,0
693,13001,0
694,12947,0
695,12947,0
696,12947,0
697,12947,0
698,12947,0
699,13001,0
700,13056,0
701,13056,0
702,13056,0
703,13056,0
704,13056,0
705,13001,0
706,13001,0
707,13001,0
708,13001,0
709,13001,0
710,13056,0
711,13056,0
712,13056,0
713,13014,0
714,13014,0
715,13136,0
716,13244,0
717,13353,0
718,13449,0
719,13558,0
720,13545,0
721,13520,0
722,13491,0
723,13545,0
724,13545,0
725,13478,0
726,13475,0
727,13504,0
728,13504,0
729,13504,0
730,13571,0
731,13600,0
732,13600,0
733,13600,0
734,13600,0
735,13600,0
736,13545,0
737,13545,0
738,13545,0
739,13545,0
740,13545,0
741,13612,0
742,13612,0
743,13612,0
744,13612,0
745,13667,0
746,13763,0
747,13872,0
748,13872,0
749,13817,0
750,13763,0
751,13654,0
752,13558,0
753,13504,0
754,13558,0
755,13558,0
756,13504,0
757,13436,0
758,13491,0
759,13491,0
760,13491,0
761,13545,0
762,13600,0
763,13600,0
764,13600,0
765,13600,0
766,13600,0
767,13545,0
768,13545,0
769,13545,0
770,13558,0
771,13558,0
772,13612,0
773,13612,0
774,13625,0
775,13721,0
776,13776,0
777,13884,0
778,13884,0
779,13872,0
780,13708,0
781,13654,0
782,13545,0
783,13520,0
784,13491,0
785,13545,0
786,13545,0
787,13491,0
788,13462,0
789,13491,0
790,13491,0
791,13491,0
792,13558,0
793,13612,0
794,13612,0
795,13612,0
796,13612,0
797,13600,0
798,13545,0
799,13545,0
800,13545,0
801,13545,0
802,13545,0
803,13600,0
804,13612,0
805,13721,0
806,13830,0
807,13884,0
808,13884,0
809,13872,0
810,13763,0
811,13600,0
812,13545,0
813,13545,0
814,13545,0
815,13545,0
816,13545,0
817,13545,0
818,13491,0
819,13436,0
820,13436,0
821,13491,0
822,13491,0
823,13545,0
824,13600,0
825,13600,0
826,13600,0
827,13600,0
828,13600,0
829,13545,0
830,13545,0
831,13545,0
832,13545,0
833,13545,0
834,13600,0
835,13708,0
836,13830,0
837,13939,0
838,13897,0
839,13897,0
840,13788,0
841,13667,0
842,13504,0
843,13545,0
844,13545,0
845,13545,0
846,13491,0
847,13545,0
848,13545,0
849,13491,0
850,13436,0
851,13491,0
852,13491,0
853,13491,0
854,13558,0
855,13612,0
856,13612,0
857,13612,0
858,13612,0
859,13600,0
860,13545,0
861,13545,0
862,13545,0
863,13545,0
864,13545,0
865,13721,0
866,13830,0
867,13939,0
868,13939,0
869,13939,0
870,13763,0
871,13654,0
872,13545,0
873,13491,0
874,13491,0
875,13545,0
876,13545,0
877,13491,0
878,13545,0
879,13545,0
880,13520,0
881,13478,0
882,13491,0
883,13491,0
884,13491,0
885,13516,0
886,13558,0
887,13600,0
888,13600,0
889,13600,0
890,13600,0
891,13545,0
892,13545,0
893,13545,0
894,13545,0
895,13667,0
896,13830,0
897,13939,0
898,13939,0
899,13939,0
900,13817,0
901,13654,0
902,13545,0
903,13545,0
904,13491,0
905,13491,0
906,13545,0
907,13545,0
908,13491,0
909,13545,0
910,13545,0
911,13545,0
912,13491,0
913,13491,0
914,13491,0
915,13491,0
916,13491,0
917,13545,0
918,13600,0
919,13600,0
920,13600,0
921,13600,0
922,13545,0
923,13545,0
924,13545,0
925,13654,0
926,13776,0
927,13939,0
928,13939,0
929,13939,0
930,13830,0
931,13708,0
932,13545,0
933,13545,0
934,13545,0
935,13491,0
936,13491,0
937,13545,0
938,13545,0
939,13545,0
940,13545,0
941,13545,0
942,13545,0
943,13491,0
944,13436,0
945,13491,0
946,13491,0
947,13491,0
948,13558,0
949,13600,0
950,13625,0
951,13625,0
952,13625,0
953,13558,0
954,13571,0
955,13654,0
956,13763,0
957,13872,0
958,13926,0
959,13939,0
960,13830,0
961,13721,0
962,13612,0
963,13612,0
964,13545,0
965,13545,0
966,13532,0
967,13504,0
968,13504,0
969,13558,0
970,13558,0
971,13516,0
972,13545,0
973,13545,0
974,13491,0
975,13436,0
976,13491,0
977,13491,0
978,13491,0
979,13545,0
980,13600,0
981,13600,0
982,13600,0
983,13600,0
984,13545,0
985,13654,0
986,13763,0
987,13872,0
988,13884,0
989,13939,0
990,13830,0
991,13721,0
992,13612,0
993,13600,0
994,13600,0
995,13545,0
996,13545,0
997,13520,0
998,13491,0
999,13491,0
1000,13545,0
1001,13545,0
1002,13516,0
1003,13545,0
1004,13545,0
1005,13491,0
1006,13436,0
1007,13491,0
1008,13491,0
1009,13491,0
1010,13545,0
1011,13600,0
1012,13600,0
1013,13600,0
1014,13600,0
1015,13654,0
1016,13763,0
1017,13872,0
1018,13872,0
1019,13872,0
1020,13817,0
1021,13708,0
1022,13600,0
1023,13600,0
1024,13600,0
1025,13600,0
1026,13545,0
1027,13545,0
1028,13545,0
1029,13491,0
1030,13491,0
1031,13545,0
1032,13545,0
1033,13491,0
1034,13545,0
1035,13545,0
1036,13545,0
1037,13436,0
1038,13491,0
1039,13491,0
1040,13491,0
1041,13491,0
1042,13612,0
1043,13612,0
1044,13612,0
1045,13721,0
1046,13776,0
1047,13872,0
1048,13872,0
1049,13872,0
1050,13763,0
1051,13708,0
1052,13612,0
1053,13612,0
1054,13612,0
1055,13612,0
1056,13612,0
1057,13545,0
1058,13520,0
1059,13545,0
1060,13491,0
1061,13491,0
1062,13545,0
1063,13571,0
1064,13545,0
1065,13545,0
1066,13545,0
1067,13545,0
1068,13491,0
1069,13436,0
1070,13504,0
1071,13504,0
1072,13504,0
1073,13558,0
1074,13612,0
1075,13708,0
1076,13817,0
1077,13872,0
1078,13872,0
1079,13872,0
1080,13763,0
1081,13654,0
1082,13600,0
1083,13600,0
1084,13600,0
1085,13600,0
1086,13600,0
1087,13600,0
1088,13491,0
1089,13545,0
1090,13545,0
1091,13491,0
1092,13491,0
1093,13612,0
1094,13558,0
1095,13516,0
1096,13600,0
1097,13571,0
1098,13504,0
1099,13504,0
1100,13491,0
1101,13462,0
1102,13491,0
1103,13545,0
1104,13545,0
1105,13708,0
1106,13817,0
1107,13926,0
1108,13872,0
1109,13872,0
1110,13763,0
1111,13654,0
1112,13545,0
1113,13600,0
1114,13600,0
1115,13600,0
1116,13600,0
1117,13600,0
1118,13491,0
1119,13600,0
1120,13545,0
1121,13545,0
1122,13491,0
1123,13600,0
1124,13491,0
1125,13545,0
1126,13545,0
1127,13600,0
1128,13545,0
1129,13520,0
1130,13491,0
1131,13436,0
1132,13436,0
1133,13491,0
1134,13516,0
1135,13654,0
1136,13817,0
1137,13926,0
1138,13926,0
1139,13872,0
1140,13763,0
1141,13654,0
1142,13545,0
1143,13545,0
1144,13600,0
1145,13600,0
1146,13600,0
1147,13600,0
1148,13504,0
1149,13612,0
1150,13612,0
1151,13558,0
1152,13558,0
1153,13600,0
1154,13491,0
1155,13491,0
1156,13545,0
1157,13545,0
1158,13612,0
1159,13571,0
1160,13571,0
1161,13516,0
1162,13475,0
1163,13462,0
1164,13516,0
1165,13638,0
1166,13801,0
1167,13952,0
1168,13952,0
1169,13939,0
1170,13763,0
1171,13654,0
1172,13545,0
1173,13545,0
1174,13545,0
1175,13612,0
1176,13612,0
1177,13612,0
1178,13504,0
1179,13612,0
1180,13600,0
1181,13600,0
1182,13600,0
1183,13654,0
1184,13491,0
1185,13491,0
1186,13491,0
1187,13491,0
1188,13545,0
1189,13600,0
1190,13545,0
1191,13545,0
1192,13491,0
1193,13436,0
1194,13436,0
